year,team
1950,Alfa Romeo
1951,Alfa Romeo
1952,Ferrari
1953,Ferrari
1954,Mercedes
1955,Mercedes
1956,Ferrari
1957,Maserati
1958,Ferrari
1959,Cooper
1960,Cooper
1961,Ferrari
1962,BRM
1963,Lotus
1964,Ferrari
1965,Lotus
1966,Brabham
1967,Brabham
1968,Lotus
1969,Matra
1970,Lotus
1971,Tyrrell
1972,Lotus
1973,Tyrrell
1974,McLaren
1975,Ferrari
1976,McLaren
1977,Ferrari
1978,Lotus
1979,Ferrari
1980,Williams
1981,Brabham
1982,Williams
1983,Brabham
1984,McLaren
1985,McLaren
1986,McLaren
1987,Williams
1988,McLaren
1989,McLaren
1990,McLaren
1991,McLaren
1992,Williams
1993,Williams
1994,Benetton
1995,Benetton
1996,Williams
1997,Williams
1998,McLaren
1999,McLaren
2000,Ferrari
2001,Ferrari
2002,Ferrari
2003,Ferrari
2004,Ferrari
2005,Renault
2006,Renault
2007,Ferrari
2008,McLaren
2009,Brawn GP
2010,Red Bull
2011,Red Bull
2012,Red Bull
2013,Red Bull
2014,Mercedes
2015,Mercedes
2016,Mercedes
2017,Mercedes
2018,Mercedes